Wall time,Step,Value
1523801149.362907,300,318495.0625
1523801364.332598,500,284648.125
1523801579.271149,700,327573.6875
1523801686.551748,800,249309.109375
1523801793.948487,900,290008.59375
1523801901.327356,1000,287785.375
1523802008.8522,1100,325593.59375
1523802116.34569,1200,288333.625
1523809694.878383,300,260823.671875
1523809910.0881,500,310582.4375
1523810017.787951,600,356390.65625
1523810125.688058,700,334921.75
1523810449.382656,1000,247624.125
1523810557.161538,1100,271377.40625
1523810772.515989,1300,268699.21875
1523810987.904413,1500,339434.6875
1523811527.539604,2000,339271.5
1523811635.334308,2100,251986.578125
1523811743.076336,2200,272085.59375
1523811850.743785,2300,288227.34375
1523811908.266843,2333,284336.1875
1523812015.996009,2433,262314.4375
1523812124.019144,2533,300806.78125
1523812231.632434,2633,270628.34375
1523812339.59413,2733,263374.96875
1523812554.938918,2933,258858.890625
1523812662.672489,3033,234318.984375
1523812770.740717,3133,279885.875
1523812986.284808,3333,271128.09375
1523813094.053649,3433,247635.640625
1523813309.534066,3633,386613.375
1523813524.602508,3833,299328.125
1523813632.166759,3933,280266.625
1523813847.437616,4133,285788.0625
1523813955.019746,4233,283813.71875
1523814062.792163,4333,225686.640625
1523814170.415758,4433,230086.125
1523815300.448859,5466,215872.6875
1523815408.071231,5566,265040.375
1523815623.20743,5766,251471.875
1523816053.470966,6166,260148.53125
1523816483.331238,6566,278936.03125
1523816590.803583,6666,259351.96875
1523816698.806682,6766,200397.34375
1523816805.996271,6866,240350.203125
1523816913.452683,6966,256194.15625
1523817072.481841,7099,235338.6875
1523817179.858329,7199,202857.40625
1523817287.300872,7299,222529.0625
1523817394.752305,7399,266437.78125
1523817502.110076,7499,235560.96875
1523817609.532109,7599,225469.84375
1523817824.377811,7799,283455.625
1523817932.494155,7899,305204.625
1523818255.539641,8199,219478.109375
1523818577.995007,8499,197644.15625
1523818685.491776,8599,236346.0625
1523819007.537278,8899,205692.625
1523819115.003397,8999,202711.3125
1523819222.85516,9099,284327.28125
1523819330.44574,9199,220461.375
1523819811.613231,9632,225654.96875
1523819918.933476,9732,223564.25
1523820133.976962,9932,180673.90625
1523820778.035048,10532,218714.9375
1523820885.557918,10632,211757.078125
1523820993.111662,10732,238133.8125
1523821207.962476,10932,214374.0625
1523821530.458854,11232,227973.53125
1523821745.259162,11432,253369.3125
1523821852.633165,11532,224253.0
1523821959.95137,11632,215531.96875
1523822118.987603,11765,223729.5625
1523822333.893569,11965,266963.625
1523822441.101353,12065,225175.1875
1523822548.818493,12165,262997.75
1523822656.150582,12265,223082.703125
1523822763.395221,12365,179738.90625
1523822871.094285,12465,260864.78125
1523823193.194133,12765,211899.0
1523823300.768904,12865,212315.75
1523823408.249146,12965,236175.609375
1523823623.666934,13165,215123.515625
1523823731.204211,13265,193362.5625
1523824161.073219,13665,194925.921875
1523824268.630468,13765,173000.84375
1523824375.987176,13865,208132.453125
1523824483.39857,13965,203592.46875
1523824642.380928,14098,208411.734375
1523824749.745446,14198,178939.859375
1523824857.033682,14298,193340.90625
1523825179.202209,14598,221770.0
1523825393.841499,14798,150797.375
1523825501.203203,14898,211299.671875
1523825716.037488,15098,243123.515625
1523825823.332198,15198,172234.46875
1523826253.003806,15598,164036.984375
1523826360.672974,15698,184253.6875
1523826468.058814,15798,198927.1875
1523826575.494715,15898,210831.65625
1523826790.662981,16098,176658.734375
1523826897.985776,16198,168975.84375
1523827005.530439,16298,191679.21875
1523827057.591767,16331,183774.859375
1523827272.729093,16531,213461.8125
1523827379.952079,16631,171286.90625
1523827487.352171,16731,190956.796875
1523827595.037453,16831,138655.03125
1523827702.582307,16931,188702.859375
1523827809.846958,17031,185219.0
1523828024.97771,17231,161088.484375
1523828132.4318,17331,209812.3125
1523828240.194092,17431,152329.6875
1523828347.605786,17531,172501.140625
1523828562.756146,17731,186263.5625
1523828777.751037,17931,143808.953125
1523828885.133852,18031,183424.203125
1523828992.51112,18131,146848.78125
1523829099.897538,18231,139273.203125
1523829422.365175,18531,166901.109375
