Wall time,Step,Value
1523617945.585567,300,318522.09375
1523618162.232074,500,287575.96875
1523618378.765772,700,356030.375
1523618487.032346,800,267111.75
1523618595.490453,900,322113.125
1523618703.802023,1000,304632.3125
1523618812.143665,1100,361540.25
1523618920.496535,1200,312870.53125
1523619461.936531,1700,371589.03125
1523619678.590983,1900,386884.40625
1523619787.04481,2000,360766.5
1523619895.38696,2100,308467.625
1523620194.20305,2332,227666.703125
1523620302.895298,2432,407624.28125
1523620519.106914,2632,319887.0
1523620735.306429,2832,366891.25
1523621168.460876,3232,368418.625
1523621277.040666,3332,354575.8125
1523621385.373519,3432,338132.75
1523621493.841455,3532,355055.5
1523621602.103829,3632,311543.28125
1523621710.37697,3732,315664.78125
1523621818.709224,3832,404707.875
1523621927.040607,3932,386193.53125
1523622035.40449,4032,314715.71875
1523622143.976665,4132,283267.5
1523622360.581349,4332,297260.53125
1523622469.021367,4432,321783.875
1523622577.336334,4532,319504.21875
1523622752.634135,4664,300115.125
1523622861.206453,4764,309407.875
1523623078.279571,4964,344100.3125
1523623295.975766,5164,315572.8125
1523623404.488983,5264,308087.6875
1523623621.874099,5464,343435.5
1523623730.07311,5564,302135.0625
1523623838.40084,5664,290717.5
1523623946.743558,5764,353967.375
1523625139.969179,6864,305882.5625
1523625248.390916,6964,257609.65625
1523625424.179947,7096,335475.5625
1523625861.417769,7496,291754.5625
1523626078.103264,7696,334473.09375
1523626295.246037,7896,245140.109375
1523626404.002728,7996,271007.9375
1523626513.432243,8096,263946.15625
1523626621.881451,8196,268271.125
1523626730.683216,8296,312265.25
1523626947.308192,8496,350513.8125
1523627055.516696,8596,317817.9375
1523627163.749622,8696,314200.6875
1523627272.187364,8796,271326.125
1523627380.293158,8896,244136.390625
1523627488.81699,8996,310468.96875
1523627705.647522,9196,338549.03125
1523627815.381441,9296,249091.484375
1523628100.40909,9528,291988.875
1523628426.005687,9828,251456.6875
1523628534.078399,9928,350209.53125
1523628858.436821,10228,251996.40625
1523628966.525925,10328,266034.6875
1523629075.079048,10428,326390.0
1523629183.425687,10528,275520.0
1523629723.45777,11028,280604.84375
1523629831.32245,11128,294436.8125
1523630047.135733,11328,229736.828125
1523630653.393579,11860,284207.1875
1523630761.491088,11960,259897.625
1523630869.474106,12060,338547.03125
1523631085.267148,12260,330919.9375
1523631408.892862,12560,267208.78125
1523631624.279391,12760,323662.875
1523631731.95184,12860,287537.34375
1523631839.705427,12960,275779.8125
1523632055.126507,13160,302322.375
1523632270.659438,13360,293633.9375
1523632378.520075,13460,247996.0
1523632486.272551,13560,362860.09375
1523632594.086333,13660,275655.75
1523632701.814491,13760,244202.484375
1523632809.587415,13860,278563.40625
1523633091.409882,14092,248408.71875
1523633199.283542,14192,234377.75
1523633306.819496,14292,259613.375
1523633522.076621,14492,245008.40625
1523633629.685811,14592,283272.78125
1523633952.706699,14892,236063.46875
1523634060.356989,14992,230984.625
1523634167.962837,15092,287187.3125
1523634275.662281,15192,257154.890625
1523634383.303763,15292,252468.78125
1523634598.46395,15492,286068.28125
1523634706.057929,15592,244205.96875
1523634813.73225,15692,324199.21875
1523635136.836644,15992,257301.3125
1523635352.697288,16192,298973.25
1523635460.397194,16292,308967.75
1523635634.694861,16424,278585.8125
1523635742.624683,16524,269534.0625
1523635958.160114,16724,307773.875
1523636173.513522,16924,265866.03125
1523636281.217893,17024,225119.390625
1523636388.777898,17124,260929.0
1523636496.404907,17224,259680.71875
1523636711.732121,17424,265116.8125
1523636819.542758,17524,259499.21875
1523636927.140412,17624,290650.6875
1523637034.872404,17724,274721.0625
1523637250.686197,17924,260526.984375
1523637358.552365,18024,290473.21875
1523637466.846277,18124,298299.59375
1523637574.667635,18224,242857.546875
1523637682.435493,18324,263330.6875
1523637790.293982,18424,256556.46875
1523638006.002484,18624,287395.5
1523638072.139574,18656,234867.5625
1523638180.330184,18756,234345.90625
1523638288.20258,18856,221996.890625
1523638504.285046,19056,314892.0625
1523638719.983155,19256,256049.40625
1523638827.806226,19356,217382.3125
1523638936.218089,19456,247607.75
1523639043.924313,19556,247791.75
1523639367.615026,19856,297995.25
1523639475.948444,19956,271553.65625
1523639691.536418,20156,278066.21875
1523640015.193643,20456,241477.59375
1523640123.054136,20556,302235.03125
1523640446.779032,20856,234284.25
1523640554.834108,20956,261184.421875
1523640838.748838,21188,259749.203125
1523640946.952369,21288,198511.03125
1523641054.995854,21388,299141.6875
1523641162.941561,21488,236973.03125
1523641271.078977,21588,290037.25
1523641379.04773,21688,267736.53125
1523641487.159588,21788,218373.21875
1523641810.868028,22088,221794.9375
1523642026.692279,22288,263822.125
1523642134.753719,22388,287635.1875
1523642242.817928,22488,211388.875
1523642350.754031,22588,254857.609375
1523642458.81053,22688,214058.390625
1523642675.393296,22888,260931.171875
1523642783.322591,22988,267254.375
1523642891.420815,23088,241233.625
1523642999.488602,23188,246570.796875
1523643282.212724,23420,269524.5625
1523643390.67851,23520,182548.84375
1523643498.741712,23620,264912.25
1523643714.974601,23820,247865.75
1523643823.164655,23920,247426.21875
1523643931.044616,24020,226052.71875
1523644039.047553,24120,239875.15625
1523644363.342751,24420,214794.09375
1523644579.113321,24620,242355.65625
1523645334.364441,25320,224852.78125
1523645550.112568,25520,285553.5625
1523645724.337017,25652,246273.109375
1523646372.300833,26252,260014.71875
1523646696.250567,26552,290679.5625
1523646804.522174,26652,224311.40625
1523646913.220092,26752,248647.40625
1523647129.105839,26952,222706.03125
1523647237.110715,27052,265068.40625
1523647452.764904,27252,205131.78125
1523647561.665898,27352,260415.25
1523647886.347314,27652,291781.78125
1523647994.576784,27752,291572.875
1523648210.467788,27952,256390.34375
1523648277.225848,27984,226443.234375
1523648601.317726,28284,252857.53125
1523648709.072978,28384,222783.625
1523648817.070161,28484,225620.09375
1523648925.042744,28584,261311.125
1523649033.218404,28684,230958.59375
1523649141.040592,28784,246966.03125
1523649249.051862,28884,205575.46875
1523649356.892657,28984,249015.1875
1523649465.693905,29084,247899.140625
1523649573.544351,29184,245471.5625
1523649789.44289,29384,239478.625
1523650006.345526,29584,233491.59375
1523650114.215597,29684,271944.875
1523650545.596911,30084,287606.0625
1523650653.492278,30184,235005.65625
1523650827.471509,30316,245745.46875
1523650935.535089,30416,240014.0
1523651043.271986,30516,229452.703125
1523651259.349357,30716,269264.9375
1523651478.823064,30916,202780.046875
1523651586.640946,31016,260476.96875
1523651910.37972,31316,223050.390625
1523652234.351397,31616,226514.0
1523652450.735352,31816,226791.09375
1523652558.834634,31916,223085.90625
1523652774.986676,32116,190076.625
1523652883.095564,32216,209061.5
